Model,Feature,Coefficient,Abs_Coefficient
LinearRegression,fixed acidity,0.017363314264178222,0.017363314264178222
LinearRegression,volatile acidity,-0.20954050688833525,0.20954050688833525
LinearRegression,citric acid,-0.08122259180006397,0.08122259180006397
LinearRegression,residual sugar,0.002143718126958582,0.002143718126958582
LinearRegression,chlorides,-0.10139018329394292,0.10139018329394292
LinearRegression,free sulfur dioxide,0.02741819878963685,0.02741819878963685
LinearRegression,total sulfur dioxide,-0.07934593662648035,0.07934593662648035
LinearRegression,density,0.007539391398726836,0.007539391398726836
LinearRegression,pH,-0.10063149340475103,0.10063149340475103
LinearRegression,sulphates,0.14556928028656205,0.14556928028656205
LinearRegression,alcohol,0.33806345120033465,0.33806345120033465
Ridge,fixed acidity,0.01913562554888461,0.01913562554888461
Ridge,volatile acidity,-0.2089459756206106,0.2089459756206106
Ridge,citric acid,-0.08029673697630593,0.08029673697630593
Ridge,residual sugar,0.0028084070191775994,0.0028084070191775994
Ridge,chlorides,-0.10129106161234237,0.10129106161234237
Ridge,free sulfur dioxide,0.02719510458670189,0.02719510458670189
Ridge,total sulfur dioxide,-0.07926444860108948,0.07926444860108948
Ridge,density,0.005243135465939811,0.005243135465939811
Ridge,pH,-0.09914267769808878,0.09914267769808878
Ridge,sulphates,0.1456996848418645,0.1456996848418645
Ridge,alcohol,0.3361985526015265,0.3361985526015265
Lasso,fixed acidity,0.0,0.0
Lasso,volatile acidity,-0.1508474583654824,0.1508474583654824
Lasso,citric acid,0.0,0.0
Lasso,residual sugar,-0.0,0.0
Lasso,chlorides,-0.0,0.0
Lasso,free sulfur dioxide,-0.0,0.0
Lasso,total sulfur dioxide,-0.0,0.0
Lasso,density,-0.0,0.0
Lasso,pH,-0.0,0.0
Lasso,sulphates,0.01704915101215566,0.01704915101215566
Lasso,alcohol,0.2634604667290214,0.2634604667290214
ElasticNet,fixed acidity,0.0,0.0
ElasticNet,volatile acidity,-0.17196995021597014,0.17196995021597014
ElasticNet,citric acid,0.0,0.0
ElasticNet,residual sugar,-0.0,0.0
ElasticNet,chlorides,-0.020932646250928277,0.020932646250928277
ElasticNet,free sulfur dioxide,-0.0,0.0
ElasticNet,total sulfur dioxide,-0.016946467342995434,0.016946467342995434
ElasticNet,density,-0.0,0.0
ElasticNet,pH,-0.0052381882874307254,0.0052381882874307254
ElasticNet,sulphates,0.06648727168596266,0.06648727168596266
ElasticNet,alcohol,0.28471147459598106,0.28471147459598106
